iter	Accuracy	Logloss
0	0.7775	0.6773328231
1	0.808125	0.6598555728
2	0.861875	0.6389860157
3	0.870625	0.6227178923
4	0.868125	0.6041404243
5	0.868125	0.5889681252
6	0.87125	0.5747434501
7	0.86625	0.5625610674
8	0.873125	0.5494358153
9	0.87375	0.5361193818
10	0.87375	0.5262842233
11	0.878125	0.5187816755
12	0.87875	0.5084327338
13	0.87875	0.4996056825
14	0.875625	0.4916804183
15	0.8775	0.4862560352
16	0.879375	0.4798493947
17	0.879375	0.4756292506
18	0.880625	0.4719788659
19	0.88125	0.4673976232
20	0.88375	0.4594769741
21	0.880625	0.4544110242
22	0.880625	0.4505213715
23	0.881875	0.445438187
24	0.8825	0.4408212098
25	0.881875	0.4352930292
26	0.8825	0.4313290841
27	0.88375	0.429079126
28	0.880625	0.4260431606
29	0.88375	0.4205364691
30	0.8825	0.4151434721
31	0.885625	0.4111418042
32	0.886875	0.4090769872
33	0.886875	0.4054724927
34	0.885	0.4029609501
35	0.886875	0.398904416
36	0.88625	0.3968085432
37	0.88875	0.3947968443
38	0.890625	0.3929658649
39	0.891875	0.391017855
40	0.893125	0.3893385318
41	0.891875	0.3867846722
42	0.89125	0.3836493507
43	0.890625	0.3824977938
44	0.89125	0.3801937811
45	0.891875	0.3782806199
46	0.893125	0.3766653367
47	0.893125	0.3758728725
48	0.89125	0.3751037772
49	0.894375	0.3719998957
50	0.89375	0.3710102003
51	0.894375	0.3697932124
52	0.893125	0.3683616837
53	0.894375	0.3641735997
54	0.893125	0.3609376601
55	0.893125	0.3586193498
56	0.89375	0.3564292006
57	0.895	0.3550847797
58	0.895	0.3534601203
59	0.8975	0.3520111419
60	0.898125	0.3502884661
61	0.89875	0.3488701514
62	0.8975	0.3467356402
63	0.8975	0.344908129
64	0.89875	0.344157924
65	0.898125	0.3421990495
66	0.898125	0.341368406
67	0.8975	0.3395797183
68	0.899375	0.3383700162
69	0.89875	0.3375404124
70	0.9	0.3359219241
71	0.9	0.3334955125
72	0.900625	0.3310878441
73	0.9025	0.3300699033
74	0.9025	0.3282902914
75	0.904375	0.3272938065
76	0.905	0.3261143867
77	0.90625	0.3249621483
78	0.905625	0.3240518913
79	0.90625	0.3234009736
80	0.906875	0.3222999984
81	0.90875	0.3211577829
82	0.90875	0.3203076023
83	0.910625	0.3188788701
84	0.909375	0.3181395995
85	0.91	0.3164655023
86	0.910625	0.3157502146
87	0.910625	0.3146380511
88	0.911875	0.3129634205
89	0.91375	0.3116788691
90	0.915	0.3107427503
91	0.915625	0.3096699623
92	0.915	0.3086500257
93	0.914375	0.3080040399
94	0.914375	0.3065261056
95	0.915625	0.3057337018
96	0.915	0.3044946565
97	0.915	0.3033097514
98	0.915	0.3024795563
99	0.915625	0.3010669583
100	0.91625	0.3003752206
101	0.916875	0.2998115687
102	0.9175	0.2990492184
103	0.9175	0.2986523021
104	0.916875	0.2972346918
105	0.919375	0.2963761799
106	0.919375	0.2957143868
107	0.919375	0.2947380618
108	0.92125	0.2941434815
109	0.920625	0.2930077436
110	0.92	0.2923786924
111	0.919375	0.2917883364
112	0.919375	0.291346002
113	0.92125	0.2902551831
114	0.92125	0.2897701795
115	0.92125	0.2887582857
116	0.921875	0.2868328537
117	0.921875	0.2860659397
118	0.921875	0.2852979214
119	0.9225	0.2844899115
120	0.9225	0.2836306748
121	0.923125	0.2830358799
122	0.923125	0.282227696
123	0.9225	0.2812826912
124	0.923125	0.2796924081
125	0.92375	0.2789113348
126	0.92375	0.2782922638
127	0.923125	0.2775861476
128	0.923125	0.2765953382
129	0.924375	0.275748183
130	0.92375	0.2740810467
131	0.92375	0.2731598413
132	0.924375	0.272274353
133	0.924375	0.2713846917
134	0.925625	0.2710039028
135	0.926875	0.2704400407
136	0.92625	0.2698562828
137	0.9275	0.2688227563
138	0.928125	0.2683682357
139	0.926875	0.2672387341
140	0.9275	0.2662059558
141	0.928125	0.2655422032
142	0.92875	0.2650841346
143	0.92875	0.264318276
144	0.928125	0.263879143
145	0.929375	0.263262925
146	0.929375	0.2626186285
147	0.929375	0.2619328785
148	0.93	0.2610309329
149	0.93	0.2601040117
150	0.929375	0.258992411
151	0.929375	0.2584416045
152	0.929375	0.2572990312
153	0.930625	0.2568202942
154	0.930625	0.2558224887
155	0.929375	0.2554105351
156	0.931875	0.2542152974
157	0.931875	0.2538518741
158	0.931875	0.2529613102
159	0.9325	0.2518478064
160	0.931875	0.2509308245
161	0.9325	0.2502695243
162	0.933125	0.2498041762
163	0.933125	0.2494710447
164	0.933125	0.2491284441
165	0.93375	0.2486709207
166	0.935	0.247897261
167	0.935	0.2474715919
168	0.935	0.2469262322
169	0.934375	0.2462752627
170	0.935625	0.245906882
171	0.934375	0.2453744265
172	0.935	0.2442260655
173	0.93375	0.243417978
174	0.93375	0.2428273625
175	0.935	0.2421624369
176	0.93375	0.2416836372
177	0.935	0.2413313866
178	0.936875	0.2408894624
179	0.936875	0.2400637319
180	0.9375	0.2393581372
181	0.939375	0.2381615214
182	0.939375	0.2376598536
183	0.939375	0.2362572901
184	0.94	0.2358214035
185	0.94	0.2354225039
