iter	Passed	Remaining
0	160	80039
1	165	41229
2	168	27912
3	171	21322
4	175	17401
5	179	14753
6	182	12848
7	185	11387
8	188	10277
9	191	9386
10	195	8710
11	199	8122
12	203	7613
13	206	7167
14	210	6796
15	212	6436
16	216	6139
17	219	5886
18	222	5638
19	225	5421
20	228	5219
21	231	5026
22	234	4870
23	237	4716
24	240	4577
25	244	4453
26	246	4324
27	249	4211
28	253	4115
29	256	4016
30	259	3932
31	263	3855
32	267	3790
33	271	3721
34	274	3651
35	277	3575
36	280	3504
37	283	3445
38	286	3388
39	289	3328
40	292	3270
41	294	3213
42	298	3167
43	301	3126
44	305	3084
45	308	3046
46	311	3001
47	314	2965
48	318	2932
49	322	2899
50	325	2862
51	327	2824
52	331	2794
53	334	2764
54	338	2740
55	341	2706
56	344	2673
57	347	2647
58	350	2619
59	354	2596
60	357	2573
61	360	2549
62	365	2535
63	369	2514
64	373	2496
65	376	2477
66	380	2457
67	383	2436
68	388	2429
69	392	2408
70	396	2394
71	399	2377
72	405	2369
73	408	2351
74	411	2334
75	415	2315
76	418	2298
77	421	2282
78	425	2265
79	428	2250
80	432	2236
81	436	2227
82	440	2211
83	443	2196
84	449	2194
85	462	2225
86	468	2226
87	475	2226
88	480	2217
89	487	2219
90	492	2214
91	500	2218
92	506	2217
93	511	2209
94	514	2194
95	518	2181
96	522	2169
97	525	2155
98	529	2143
99	533	2132
100	536	2117
101	540	2108
102	544	2100
103	548	2089
104	552	2077
105	569	2115
106	575	2113
107	578	2099
108	582	2088
109	585	2075
110	588	2063
111	594	2058
112	598	2048
113	601	2038
114	605	2027
115	609	2019
116	613	2007
117	616	1996
118	620	1985
119	624	1977
120	627	1965
121	630	1954
122	633	1942
123	636	1930
124	641	1923
125	644	1912
126	647	1901
127	650	1891
128	654	1881
129	658	1875
130	662	1864
131	665	1855
132	669	1846
133	673	1839
134	677	1830
135	680	1821
136	683	1811
137	687	1802
138	689	1790
139	692	1781
140	696	1772
141	699	1763
142	702	1754
143	706	1747
144	710	1739
145	713	1729
146	715	1718
147	718	1708
148	720	1698
149	723	1688
150	727	1681
151	730	1672
152	733	1664
153	737	1656
154	741	1649
155	745	1644
156	748	1636
157	752	1627
158	755	1619
159	758	1612
160	764	1609
161	767	1602
162	771	1594
163	774	1586
164	777	1579
165	781	1572
166	785	1566
167	788	1558
168	791	1551
169	795	1544
170	799	1538
171	803	1531
172	806	1523
173	809	1516
174	813	1510
175	816	1503
176	819	1495
177	822	1488
178	827	1483
179	831	1478
180	834	1471
181	838	1464
182	841	1457
183	845	1451
184	849	1445
185	852	1438
186	855	1432
187	859	1425
188	862	1418
189	866	1413
190	869	1406
191	873	1400
192	876	1394
193	879	1387
194	882	1380
195	885	1373
196	888	1366
197	891	1359
198	893	1352
199	896	1345
200	899	1338
201	903	1333
202	906	1326
203	910	1321
204	914	1316
205	918	1311
206	922	1305
207	925	1299
208	928	1293
209	931	1287
210	935	1280
211	937	1274
212	940	1267
213	943	1260
214	946	1254
215	950	1249
216	953	1243
217	956	1237
218	960	1232
219	964	1227
220	968	1222
221	972	1217
222	975	1212
223	979	1207
224	984	1203
225	988	1198
226	991	1192
227	994	1186
228	999	1182
229	1002	1177
230	1006	1171
231	1009	1165
232	1012	1159
233	1015	1154
234	1019	1149
235	1022	1144
236	1026	1138
237	1028	1132
238	1031	1126
239	1034	1120
240	1037	1114
241	1039	1108
242	1042	1102
243	1045	1096
244	1048	1091
245	1052	1086
246	1055	1081
247	1058	1075
248	1062	1071
249	1067	1067
250	1070	1062
251	1074	1057
252	1078	1053
253	1082	1048
254	1087	1044
255	1090	1039
256	1093	1034
257	1097	1029
258	1101	1024
259	1103	1018
260	1106	1013
261	1109	1008
262	1114	1003
263	1118	999
264	1122	995
265	1127	991
266	1130	986
267	1135	983
268	1140	979
269	1143	974
270	1147	969
271	1151	965
272	1155	960
273	1158	955
274	1160	949
275	1163	944
276	1166	938
277	1169	933
278	1172	928
279	1175	923
280	1178	918
281	1181	913
282	1184	908
283	1188	904
284	1193	900
285	1196	895
286	1200	890
287	1203	885
288	1207	881
289	1210	876
290	1212	871
291	1215	865
292	1218	861
293	1222	856
294	1225	851
295	1228	846
296	1231	841
297	1234	836
298	1237	832
299	1241	827
300	1244	822
301	1248	818
302	1252	814
303	1256	809
304	1259	805
305	1263	801
306	1266	796
307	1270	792
308	1274	787
309	1276	782
310	1279	777
311	1281	772
312	1284	767
313	1287	762
314	1291	758
315	1293	753
316	1297	748
317	1300	744
318	1303	739
319	1317	741
320	1321	736
321	1324	732
322	1328	727
323	1331	723
324	1335	719
325	1339	714
326	1342	710
327	1346	706
328	1350	701
329	1354	697
330	1357	692
331	1360	688
332	1363	683
333	1366	679
334	1370	675
335	1373	670
336	1376	665
337	1378	660
338	1381	656
339	1384	651
340	1386	646
341	1390	642
342	1393	637
343	1396	633
344	1399	628
345	1402	624
346	1406	620
347	1409	615
348	1413	611
349	1416	607
350	1420	602
351	1423	598
352	1426	593
353	1429	589
354	1431	584
355	1434	580
356	1437	575
357	1440	571
358	1443	566
359	1446	562
360	1450	558
361	1455	555
362	1458	550
363	1461	546
364	1465	541
365	1468	537
366	1471	533
367	1475	529
368	1479	525
369	1483	521
370	1486	516
371	1491	513
372	1495	509
373	1499	505
374	1502	500
375	1508	497
376	1511	493
377	1515	489
378	1517	484
379	1520	480
380	1524	476
381	1527	471
382	1530	467
383	1532	462
384	1535	458
385	1538	454
386	1542	450
387	1546	446
388	1549	442
389	1553	438
390	1557	434
391	1561	430
392	1564	425
393	1567	421
394	1570	417
395	1573	413
396	1576	409
397	1579	404
398	1582	400
399	1585	396
400	1588	392
401	1593	388
402	1597	384
403	1600	380
404	1603	376
405	1606	372
406	1611	368
407	1614	364
408	1618	360
409	1621	355
410	1625	351
411	1629	348
412	1632	343
413	1636	339
414	1639	335
415	1644	332
416	1647	327
417	1651	323
418	1655	320
419	1658	315
420	1661	311
421	1664	307
422	1667	303
423	1670	299
424	1672	295
425	1675	291
426	1678	286
427	1681	282
428	1685	278
429	1689	274
430	1692	270
431	1695	266
432	1698	262
433	1701	258
434	1704	254
435	1707	250
436	1710	246
437	1714	242
438	1719	238
439	1723	234
440	1726	230
441	1730	227
442	1733	223
443	1737	219
444	1741	215
445	1744	211
446	1747	207
447	1750	203
448	1753	199
449	1757	195
450	1761	191
451	1766	187
452	1769	183
453	1772	179
454	1775	175
455	1778	171
456	1782	167
457	1785	163
458	1791	160
459	1794	156
460	1799	152
461	1802	148
462	1805	144
463	1808	140
464	1813	136
465	1816	132
466	1820	128
467	1823	124
468	1827	120
469	1830	116
470	1834	112
471	1839	109
472	1842	105
473	1846	101
474	1849	97
475	1852	93
476	1855	89
477	1858	85
478	1860	81
479	1863	77
480	1866	73
481	1869	69
482	1872	65
483	1875	62
484	1879	58
485	1882	54
486	1885	50
487	1891	46
488	1894	42
489	1898	38
490	1901	34
491	1905	30
492	1908	27
493	1912	23
494	1915	19
495	1918	15
496	1921	11
497	1925	7
498	1928	3
499	1931	0
